code,prefname,name,url,stat2015_total,stat2015_dencity,stat2015_ave_age,stat2015_mean_age,stat2015_under15,stat2015_15to64,stat2015_over65,stat2015_per15,stat2015_per15to64,stat2015_per65
22220,静岡県,静岡県裾野市,https://open-data.pref.shizuoka.jp/,52737,381.8,44.5,44.6,7672,32448,12384,14.61222002,61.80100564,23.58677434
22221,静岡県,静岡県湖西市,https://open-data.pref.shizuoka.jp/,59789,690.7,45.6,45.9,8080,36227,15079,13.60590038,61.0025932,25.39150642
22223,静岡県,静岡県御前崎市,http://www.city.omaezaki.shizuoka.jp/somu/shise/johosesaku/opendatalist.html,32578,496.9,47.2,48.4,4171,19139,8767,13.00308632,59.66580416,27.33110952
22224,静岡県,静岡県菊川市,https://open-data.pref.shizuoka.jp/,46763,496.5,45.4,45.5,6755,28176,11682,14.49166542,60.44665651,25.06167807
22225,静岡県,静岡県伊豆の国市,https://www.city.izunokuni.shizuoka.jp/system/opendata/opendata.html,48152,508.9,48.5,50.2,5889,27334,14788,12.26593906,56.93278624,30.80127471
22226,静岡県,静岡県牧之原市,https://open-data.pref.shizuoka.jp/,45547,407.8,48.2,50.2,5632,26685,13137,12.39054869,58.70770449,28.90174682
22301,静岡県,静岡県東伊豆町,https://open-data.pref.shizuoka.jp/,12624,162.2,55.1,60.8,1065,6206,5348,8.439654489,49.17980823,42.38053729
22304,静岡県,静岡県南伊豆町,https://open-data.pref.shizuoka.jp/,8524,77.5,55.9,62.1,824,3956,3744,9.666823088,46.41013609,43.92304083
22325,静岡県,静岡県函南町,https://open-data.pref.shizuoka.jp/,37661,578.0,48,49.5,4712,21587,11315,12.52725049,57.3908651,30.0818844
22342,静岡県,静岡県長泉町,https://open-data.pref.shizuoka.jp/,42331,"1,589.6",42.5,42.3,6862,26348,8932,16.28304304,62.5219496,21.19500736
22344,静岡県,静岡県小山町,https://open-data.pref.shizuoka.jp/,19497,143.6,46.4,46.7,2377,11929,5092,12.2538406,61.49603052,26.25012888
22424,静岡県,静岡県吉田町,https://open-data.pref.shizuoka.jp/,29093,"1,403.4",44.9,45.3,4216,17672,6924,14.63279189,61.33555463,24.03165348
22429,静岡県,静岡県川根本町,http://www.town.kawanehon.shizuoka.jp/chosei/10/2/3940.html,7192,14.5,58,63,535,3335,3321,7.439855375,46.37741621,46.18272841
23100,愛知県,愛知県名古屋市,http://www.city.nagoya.jp/shisei/category/388-1-0-0-0-0-0-0-0-0.html,2295638,"7,032.1",45,44.7,282497,1429795,545210,12.51369877,63.33527058,24.15103065
23201,愛知県,愛知県豊橋市,http://www.city.toyohashi.lg.jp/16399.htm,374765,"1,431.2",44.6,44.6,52524,230340,89758,14.09578608,61.81599583,24.08821809
23202,愛知県,愛知県岡崎市,http://www.city.okazaki.lg.jp/1550/1552/1583/p015630.html,381051,984.1,43.2,43.1,56430,240554,81907,14.8934654,63.48897176,21.61756283
23203,愛知県,愛知県一宮市,http://www.city.ichinomiya.aichi.jp/opendata/index.html,380868,"3,346.2",45.3,45.6,52948,227596,97058,14.02217149,60.27404516,25.70378335
23204,愛知県,愛知県瀬戸市,http://www.city.seto.aichi.jp/docs/2017071500016/,129046,"1,158.4",46.7,47.4,16575,75384,36066,12.9466901,58.88224956,28.17106034
23205,愛知県,愛知県半田市,http://www.city.handa.lg.jp/shise/johoseisaku/opendata/index.html,116908,"2,465.4",44.1,44.3,16261,73218,26728,13.99313294,63.00653145,23.00033561
23210,愛知県,愛知県刈谷市,https://www.city.kariya.lg.jp/shisei/opendata/index.html,149765,"2,972.1",41.4,40.6,21942,98318,28303,14.76949173,66.17933133,19.05117694
23211,愛知県,愛知県豊田市,http://www.city.toyota.aichi.jp/shisei/joho/kokaihogo/1018965/index.html,422542,460.1,42.5,42,60357,272081,87315,14.37917061,64.8193104,20.80151899
23215,愛知県,愛知県犬山市,http://www.city.inuyama.aichi.jp/shisei/toukei/1003763.html,74308,992.1,46.3,46.5,9851,43519,20670,13.30497029,58.77768774,27.91734198
23219,愛知県,愛知県小牧市,http://www.city.komaki.aichi.jp/12118/index.html,149462,"2,379.6",44,44,20267,89973,33816,14.06883434,62.45696118,23.47420448
23224,愛知県,愛知県知多市,http://www.city.chita.lg.jp/docs/2016052400062/,84617,"1,843.5",45.1,45.3,11829,50839,21432,14.06539834,60.45065398,25.48394768
23225,愛知県,愛知県知立市,http://www.city.chiryu.aichi.jp/shisei/opendata/,70501,"4,322.6",41.9,41.5,10164,45714,13414,14.66835998,65.97298389,19.35865612
23226,愛知県,愛知県尾張旭市,http://www.city.owariasahi.lg.jp/sisei/data/opendata.html,80787,"3,841.5",44.9,45.2,11504,48186,19920,14.45044592,60.52757191,25.02198216
23228,愛知県,愛知県岩倉市,http://www.city.iwakura.aichi.jp/0000002334.html,47562,"4,542.7",44.9,44.9,6100,29672,11361,12.94210001,62.95376912,24.10413086
23229,愛知県,愛知県豊明市,http://www.city.toyoake.lg.jp/kikaku/joho/opendata.htm,69127,"2,977.0",44.7,44.8,9047,42605,17047,13.16904176,62.01691437,24.81404387
23230,愛知県,愛知県日進市,http://www.city.nisshin.lg.jp/seisaku/toukei/18979/index.html,87977,"2,520.1",41.4,41.3,14347,55182,17230,16.53661292,63.60377598,19.85961111
23236,愛知県,愛知県みよし市,http://www.city.aichi-miyoshi.lg.jp/shisei/opendata/7shimachi-opendata.html,61810,"1,920.2",40.3,41,10170,40940,10371,16.54169581,66.58967811,16.86862608
23238,愛知県,愛知県長久手市,https://www.city.nagakute.lg.jp/jyouhou/opendata.html,57598,"2,672.8",38.6,38.2,9897,37414,8691,17.67258312,66.80832827,15.5190886
23302,愛知県,愛知県東郷町,https://www.town.aichi-togo.lg.jp/kikaku/toukei/chousei/toukei/od/od2.html,42858,"2,377.0",42.6,42.8,7068,26070,9462,16.5915493,61.1971831,22.21126761
23442,愛知県,愛知県東浦町,http://opendata.town.aichi-higashiura.lg.jp/,49230,"1,580.9",44.4,44.5,6913,29957,11921,14.16859667,61.3986186,24.43278473
24201,三重県,三重県津市,http://www.info.city.tsu.mie.jp/www/contents/1001000000855/index.html,279886,393.6,46.8,47.4,35663,165058,77624,12.81251684,59.29978983,27.88769333
